NR2E3
CDKN2A
CDKN3
TUBB3
NDC80
PLK4
KIF2C
UBE2C
TOPBP1
CHEK1
TNFRSF13C
CYP11B2
DHFR
NQO1
DLG4
DNMT1
DNMT3B
DNTT
E2F2
AHR
EGR3
SERPINB1
ENO1
SLC29A1
EPAS1
ERCC1
ESR2
EZH2
F10
FABP4
CARD8
FOXM1
PEG10
FOXO3
FLNA
FLT4
ALPI
TBC1D22A
BAMBI
ASPM
L3MBTL1
NUPR1
GFER
B4GALT1
DKK4
MACROD1
ATAD2
RACGAP1
UHRF1
GSTM1
HIC1
HIP1
HLA-DOB
HMMR
BIRC5
ICAM3
ID3
IGFBP5
IL5RA
IMPDH2
IRAK2
CENPW
STMN1
LMO2
MAD2L1
MCM2
MCM3
MCM4
MCM5
MCM6
MCM7
CD46
MICB
MKI67
ACHE
MSH2
MYB
MYBL2
ACLY
NFATC1
NPM1
PAX5
PC
FOXP3
PCNA
HECA
PECAM1
PLK1
PNOC
POLA1
POLD1
POLE2
CEP55
MCM10
ASF1B
PRKCA
PRKCE
PBK
PROC
ARNTL2
PTHLH
ZBTB4
MYL7
RAD51
RBBP8
RBP3
RFC3
HCN2
RRM2
S100A10
SDC1
SLC2A1
BRCA1
STAT6
AURKA
SUV39H1
TCF19
BUB1B
TF
TGFA
THBD
TK1
TOP2A
TPT1
C4BPB
TTK
TWIST1
TYMS
VDR
WEE1
WHSC1
CA2
ZNF205
REEP5
ELOVL6
E2F8
CDT1
TLR10
MIA
CDCA7
CCNA2
CCNB1
ATP6V0E1
CCNB2
EXO1
PTTG1
CD19
KIAA0101
CDK1
CDC20
